Scenario,High period energy consumption [mJ],High durations [s],First 350ms [mJ],High periods power [mW],Low periods power [mW],All periods power [mW]
scen_1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.603 ± 5.242
scen_2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.637 ± 5.480
scen_3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.816 ± 6.579
scen_4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,129.097 ± 7.724
scen_5,380.025 ± 19.571,2.96 ± 0.15,45.042 ± 0.081,128.571 ± 4.737,111.789 ± 4.282,116.749 ± 8.842
scen_6,381.387 ± 20.724,2.97 ± 0.16,45.079 ± 0.097,128.556 ± 4.822,111.773 ± 4.235,116.752 ± 8.848
scen_7,380.145 ± 29.290,2.96 ± 0.23,45.172 ± 0.114,128.340 ± 5.312,111.479 ± 4.302,116.468 ± 8.979
scen_8,385.331 ± 15.778,2.99 ± 0.12,45.493 ± 0.122,128.682 ± 5.724,111.750 ± 4.232,116.820 ± 9.083
scen_9,383.901 ± 24.248,2.99 ± 0.19,45.026 ± 0.083,128.535 ± 4.678,111.718 ± 4.204,112.555 ± 5.591
scen_10,378.000 ± 18.120,2.94 ± 0.14,45.079 ± 0.070,128.591 ± 4.885,111.763 ± 4.305,112.587 ± 5.656
scen_11,382.101 ± 17.355,2.97 ± 0.14,45.266 ± 0.074,128.655 ± 5.273,111.768 ± 4.330,112.604 ± 5.711
scen_12,376.211 ± 21.426,2.92 ± 0.17,45.474 ± 0.092,128.693 ± 5.822,111.731 ± 4.319,112.558 ± 5.721
